month,day,best_direct_price,best_indirect_price
2023-07,1,1260.0,541.0
2023-07,2,1260.0,371.0
2023-07,3,1260.0,357.0
2023-07,4,1249.0,382.0
2023-07,5,1249.0,368.0
2023-07,6,1270.0,353.0
2023-07,7,1250.0,343.0
2023-07,8,1260.0,384.0
2023-07,9,1259.0,340.0
2023-07,10,1263.0,325.0
2023-07,11,1252.0,340.0
2023-07,12,1249.0,334.0
2023-07,13,1387.0,330.0
2023-07,14,1387.0,359.0
2023-07,15,1259.0,369.0
2023-07,16,1279.0,312.0
2023-07,17,1037.0,286.0
2023-07,18,1194.0,334.0
2023-07,19,1130.0,300.0
2023-07,20,1269.0,310.0
2023-07,21,1387.0,361.0
2023-07,22,1139.0,303.0
2023-07,23,1593.0,217.0
2023-07,24,1145.0,207.0
2023-07,25,1297.0,271.0
2023-07,26,1249.0,272.0
2023-07,27,1027.0,251.0
2023-07,28,1387.0,256.0
2023-07,29,1140.0,345.0
2023-07,30,1036.0,251.0
2023-07,31,1095.0,354.0
2023-08,1,1169.0,349.0
2023-08,2,1147.0,330.0
2023-08,3,1026.0,295.0
2023-08,4,1037.0,303.0
2023-08,5,952.0,358.0
2023-08,6,946.0,327.0
2023-08,7,877.0,289.0
2023-08,8,974.0,319.0
2023-08,9,798.0,328.0
2023-08,10,1027.0,380.0
2023-08,11,1345.0,345.0
2023-08,12,1038.0,340.0
2023-08,13,1141.0,314.0
2023-08,14,1140.0,315.0
2023-08,15,1027.0,364.0
2023-08,16,1027.0,314.0
2023-08,17,1029.0,323.0
2023-08,18,1269.0,324.0
2023-08,19,962.0,334.0
2023-08,20,1208.0,323.0
2023-08,21,873.0,330.0
2023-08,22,870.0,331.0
2023-08,23,949.0,368.0
2023-08,24,1151.0,368.0
2023-08,25,914.0,330.0
2023-08,26,955.0,355.0
2023-08,27,866.0,340.0
2023-08,28,877.0,340.0
2023-08,29,1027.0,352.0
2023-08,30,1027.0,341.0
2023-08,31,1151.0,355.0
2023-09,1,1130.0,372.0
2023-09,2,866.0,364.0
2023-09,3,1161.0,373.0
2023-09,4,944.0,350.0
2023-09,5,933.0,329.0
2023-09,6,1045.0,410.0
2023-09,7,859.0,349.0
2023-09,8,1147.0,354.0
2023-09,9,863.0,316.0
2023-09,10,792.0,313.0
2023-09,11,865.0,281.0
2023-09,12,964.0,355.0
2023-09,13,934.0,247.0
2023-09,14,855.0,247.0
2023-09,15,855.0,247.0
2023-09,16,N/A,638.0
2023-09,17,870.0,315.0
2023-09,18,795.0,289.0
2023-09,19,1025.0,299.0
2023-09,20,784.0,310.0
2023-09,21,868.0,311.0
2023-09,22,952.0,329.0
2023-09,23,976.0,322.0
2023-09,24,760.0,278.0
2023-09,25,859.0,291.0
2023-09,26,853.0,348.0
2023-09,27,932.0,348.0
2023-09,28,853.0,330.0
2023-09,29,1147.0,348.0
2023-09,30,980.0,330.0
2023-10,1,730.0,291.0
2023-10,2,729.0,293.0
2023-10,3,673.0,330.0
2023-10,4,630.0,289.0
2023-10,5,574.0,299.0
2023-10,6,664.0,289.0
2023-10,7,694.0,329.0
2023-10,8,684.0,291.0
2023-10,9,677.0,287.0
2023-10,10,664.0,327.0
2023-10,11,598.0,282.0
2023-10,12,N/A,N/A
2023-10,13,665.0,319.0
2023-10,14,684.0,324.0
2023-10,15,672.0,284.0
2023-10,16,676.0,289.0
2023-10,17,667.0,289.0
2023-10,18,613.0,291.0
2023-10,19,667.0,339.0
2023-10,20,665.0,284.0
2023-10,21,676.0,327.0
2023-10,22,674.0,286.0
2023-10,23,614.0,358.0
2023-10,24,575.0,304.0
2023-10,25,660.0,280.0
2023-10,26,574.0,334.0
2023-10,27,679.0,327.0
2023-10,28,674.0,319.0
2023-10,29,678.0,350.0
2023-10,30,688.0,368.0
2023-10,31,679.0,368.0
2023-11,1,N/A,N/A
2023-11,2,N/A,N/A
2023-11,3,N/A,622.0
2023-11,4,899.0,514.0
2023-11,5,674.0,355.0
2023-11,6,690.0,368.0
2023-11,7,679.0,368.0
2023-11,8,678.0,368.0
2023-11,9,678.0,368.0
2023-11,10,572.0,368.0
2023-11,11,N/A,N/A
2023-11,12,N/A,N/A
2023-11,13,679.0,366.0
2023-11,14,665.0,362.0
2023-11,15,665.0,343.0
2023-11,16,665.0,363.0
2023-11,17,668.0,375.0
2023-11,18,685.0,370.0
2023-11,19,N/A,N/A
2023-11,20,609.0,336.0
2023-11,21,665.0,357.0
2023-11,22,678.0,368.0
2023-11,23,502.0,363.0
2023-11,24,676.0,372.0
2023-11,25,674.0,369.0
2023-11,26,N/A,N/A
2023-11,27,N/A,506.0
2023-11,28,676.0,492.0
2023-11,29,672.0,478.0
2023-11,30,866.0,492.0
2023-12,1,671.0,522.0
2023-12,2,N/A,N/A
2023-12,3,679.0,492.0
2023-12,4,686.0,492.0
2023-12,5,676.0,492.0
2023-12,6,676.0,492.0
2023-12,7,677.0,491.0
2023-12,8,665.0,490.0
2023-12,9,684.0,454.0
2023-12,10,694.0,491.0
2023-12,11,688.0,660.0
2023-12,12,674.0,491.0
2023-12,13,681.0,490.0
2023-12,14,677.0,546.0
2023-12,15,681.0,490.0
2023-12,16,690.0,490.0
2023-12,17,688.0,633.0
2023-12,18,N/A,N/A
2023-12,19,686.0,523.0
2023-12,20,736.0,490.0
2023-12,21,N/A,N/A
2023-12,22,N/A,N/A
2023-12,23,N/A,N/A
2023-12,24,N/A,N/A
2023-12,25,739.0,487.0
2023-12,26,N/A,N/A
2023-12,27,N/A,N/A
2023-12,28,797.0,783.0
2023-12,29,678.0,491.0
2023-12,30,684.0,490.0
2023-12,31,N/A,N/A
